,longitude,latitude,housing_age,total_rooms,total_bedrooms,population,families,average_income,ocean_proximity,house_value
5276,-118.55,33.99,39,2603,456.0,928,410,7.9096,NEAR OCEAN,500001
5618,-118.23,33.78,20,59,24.0,69,23,2.5588,NEAR OCEAN,350000
5635,-118.28,33.75,21,2442,719.0,1916,646,1.2276,NEAR OCEAN,208300
5636,-118.28,33.74,16,855,271.0,486,250,0.7591,NEAR OCEAN,350000
5641,-118.3,33.74,47,2223,410.0,1163,413,4.4671,NEAR OCEAN,270800
5642,-118.31,33.74,36,2464,472.0,1111,457,4.5074,NEAR OCEAN,350000
5643,-118.31,33.74,22,5042,974.0,2260,935,4.3472,NEAR OCEAN,351200
5646,-118.29,33.75,37,1319,292.0,766,285,2.7031,NEAR OCEAN,218900
5648,-118.29,33.74,52,1438,472.0,1018,399,2.2188,NEAR OCEAN,306700
5649,-118.29,33.74,41,1382,361.0,905,344,2.75,NEAR OCEAN,238300
5650,-118.29,33.74,30,2074,533.0,1311,531,2.0329,NEAR OCEAN,225800
5651,-118.29,33.73,43,1854,519.0,1151,486,2.5759,NEAR OCEAN,225000
5652,-118.29,33.73,21,2492,711.0,1699,672,2.1382,NEAR OCEAN,242300
5653,-118.29,33.73,30,2835,711.0,1669,652,3.3616,NEAR OCEAN,268500
5654,-118.3,33.73,42,1731,,866,403,2.7451,NEAR OCEAN,255400
5655,-118.3,33.74,23,3075,860.0,1584,806,2.9386,NEAR OCEAN,260500
5656,-118.31,33.73,36,1725,295.0,799,306,5.0874,NEAR OCEAN,368500
5657,-118.31,33.73,52,1665,280.0,656,282,5.249,NEAR OCEAN,351900
5658,-118.3,33.74,20,2625,673.0,1184,606,3.9167,NEAR OCEAN,285200
5659,-118.3,33.73,47,2852,603.0,1130,560,4.194,NEAR OCEAN,293900
5660,-118.31,33.73,52,2025,361.0,957,363,4.2059,NEAR OCEAN,350000
5661,-118.28,33.74,44,1853,556.0,2090,539,1.8584,NEAR OCEAN,248100
5662,-118.28,33.73,39,2602,802.0,2178,737,2.0469,NEAR OCEAN,234500
5663,-118.28,33.73,52,2085,588.0,1767,516,2.1935,NEAR OCEAN,243200
5664,-118.28,33.73,45,2137,559.0,1550,529,1.9167,NEAR OCEAN,227200
5665,-118.29,33.73,30,3161,,1865,771,2.7139,NEAR OCEAN,231700
5666,-118.29,33.72,25,2469,584.0,1253,535,3.1932,NEAR OCEAN,257500
5667,-118.3,33.72,28,2647,658.0,1459,595,3.4474,NEAR OCEAN,253400
5668,-118.3,33.72,28,2510,583.0,1388,554,3.3397,NEAR OCEAN,267800
5669,-118.3,33.73,40,2582,606.0,1304,588,3.5694,NEAR OCEAN,276400
5670,-118.31,33.73,52,1642,287.0,692,288,4.1812,NEAR OCEAN,321500
5671,-118.31,33.72,26,2711,508.0,1372,459,4.1451,NEAR OCEAN,326700
5672,-118.33,33.69,41,2168,357.0,1171,374,4.7216,NEAR OCEAN,311900
5673,-118.31,33.73,33,2265,366.0,986,388,5.4533,NEAR OCEAN,409800
5674,-118.32,33.73,25,1099,168.0,407,159,7.6886,NEAR OCEAN,500001
5675,-118.33,33.72,25,6191,1081.0,2297,1023,6.4246,NEAR OCEAN,446700
5676,-118.29,33.71,36,3135,746.0,1815,697,3.7596,NEAR OCEAN,300000
5677,-118.31,33.67,42,1297,246.0,611,242,5.3074,NEAR OCEAN,401900
5678,-118.3,33.72,35,2790,,1167,441,6.2028,NEAR OCEAN,361500
5679,-118.29,33.71,40,1644,471.0,780,416,3.1071,NEAR OCEAN,464300
5680,-118.29,33.71,40,1933,475.0,902,412,4.25,NEAR OCEAN,332800
5681,-118.29,33.71,31,2809,666.0,1316,633,4.5606,NEAR OCEAN,303800
