,longitude,latitude,total_rooms,house_value
0,-122.23,37.88,880,452600
1,-122.22,37.86,7099,358500
2,-122.24,37.85,1467,352100
3,-122.25,37.85,1274,341300
4,-122.25,37.85,1627,342200
5,-122.25,37.85,919,269700
6,-122.25,37.84,2535,299200
7,-122.25,37.84,3104,241400
8,-122.26,37.84,2555,226700
9,-122.25,37.84,3549,261100
10,-122.26,37.85,2202,281500
11,-122.26,37.85,3503,241800
12,-122.26,37.85,2491,213500
13,-122.26,37.84,696,191300
14,-122.26,37.85,2643,159200
15,-122.26,37.85,1120,140000
16,-122.27,37.85,1966,152500
17,-122.27,37.85,1228,155500
18,-122.26,37.84,2239,158700
19,-122.27,37.84,1503,162900
20,-122.27,37.85,751,147500
21,-122.27,37.85,1639,159800
22,-122.27,37.84,2436,113900
23,-122.27,37.84,1688,99700
24,-122.27,37.84,2224,132600
25,-122.28,37.85,535,107500
26,-122.28,37.85,1130,93800
27,-122.28,37.85,1898,105500
28,-122.28,37.84,2082,108900
29,-122.28,37.84,729,132000
30,-122.28,37.84,1916,122300
31,-122.28,37.84,2153,115200
32,-122.27,37.84,1922,110400
33,-122.27,37.83,1655,104900
34,-122.27,37.83,2665,109700
35,-122.27,37.83,1215,97200
36,-122.27,37.83,1798,104500
37,-122.28,37.83,1511,103900
38,-122.26,37.83,1470,191400
39,-122.26,37.83,2432,176000
40,-122.26,37.83,1665,155400
41,-122.26,37.83,936,150000
42,-122.26,37.84,713,118800
43,-122.26,37.84,950,188800
44,-122.26,37.83,1443,184400
45,-122.26,37.83,1656,182300
46,-122.26,37.83,1125,142500
47,-122.27,37.82,1007,137500
48,-122.26,37.82,624,187500
49,-122.27,37.82,946,112500
50,-122.27,37.82,896,171900
51,-122.27,37.82,1868,93800
52,-122.27,37.82,3221,97500
53,-122.27,37.82,1630,104200
54,-122.28,37.82,1170,87500
55,-122.28,37.82,945,83100
56,-122.28,37.82,1238,87500
57,-122.28,37.82,1489,85300
58,-122.28,37.82,1387,80300
59,-122.29,37.82,158,60000
60,-122.29,37.83,1121,75700
61,-122.29,37.82,135,75000
62,-122.29,37.81,760,86100
63,-122.3,37.81,1224,76100
64,-122.3,37.81,828,73500
65,-122.3,37.81,1010,78400
66,-122.3,37.81,1455,84400
67,-122.29,37.8,1027,81300
68,-122.3,37.81,572,85000
69,-122.29,37.81,2801,129200
70,-122.29,37.81,768,82500
71,-122.29,37.81,935,95200
72,-122.29,37.81,844,75000
73,-122.29,37.81,12,67500
74,-122.29,37.81,835,137500
75,-122.28,37.81,1237,177500
76,-122.28,37.81,2914,102100
77,-122.28,37.81,1207,108300
78,-122.29,37.81,1745,112500
79,-122.28,37.8,684,131300
80,-122.28,37.81,924,162500
81,-122.27,37.81,210,112500
82,-122.28,37.81,340,112500
83,-122.28,37.81,386,137500
84,-122.28,37.81,948,118800
85,-122.28,37.81,773,98200
86,-122.27,37.81,880,118800
87,-122.27,37.81,875,162500
88,-122.27,37.8,105,137500
89,-122.27,37.8,249,500001
90,-122.27,37.8,994,162500
91,-122.28,37.8,215,137500
92,-122.28,37.8,96,162500
93,-122.27,37.79,1055,187500
94,-122.27,37.8,1715,179200
95,-122.26,37.8,5329,130000
96,-122.26,37.82,4596,183800
97,-122.26,37.81,335,125000
98,-122.26,37.82,3682,170000
99,-122.26,37.82,3633,193100
100,-122.25,37.81,4656,257800
101,-122.25,37.81,5806,273400
102,-122.25,37.81,854,237500
103,-122.25,37.81,2155,350000
104,-122.26,37.81,5871,335700
105,-122.24,37.82,1509,313400
106,-122.24,37.81,2026,268500
107,-122.25,37.81,1758,259400
108,-122.24,37.82,3481,275700
109,-122.25,37.82,3337,225000
110,-122.25,37.82,1424,262500
111,-122.25,37.82,3809,218500
112,-122.25,37.82,3959,255000
113,-122.25,37.83,2376,224100
114,-122.25,37.83,1613,243100
115,-122.25,37.83,1279,231600
116,-122.25,37.83,5022,218500
117,-122.25,37.83,4190,234100
118,-122.23,37.84,2515,327600
119,-122.23,37.84,3175,347600
120,-122.24,37.83,2576,366100
121,-122.24,37.85,334,335000
122,-122.23,37.85,2800,373600
123,-122.24,37.84,3529,389500
124,-122.24,37.85,2612,391100
125,-122.22,37.85,5287,337300
126,-122.22,37.84,2935,295200
127,-122.21,37.84,3424,292300
128,-122.21,37.83,4991,411500
129,-122.2,37.84,2211,311500
130,-122.21,37.84,3038,325900
131,-122.19,37.84,1617,392600
132,-122.2,37.84,2865,319300
133,-122.21,37.83,5065,333300
134,-122.19,37.83,1326,335200
135,-122.2,37.83,1589,351200
136,-122.19,37.83,1791,368900
137,-122.19,37.82,1835,365900
138,-122.2,37.82,1229,366700
139,-122.2,37.82,3770,362800
140,-122.18,37.81,292,483300
141,-122.21,37.82,2375,331400
142,-122.2,37.81,2964,323500
143,-122.21,37.8,2833,216700
144,-122.21,37.8,2254,233100
145,-122.21,37.81,1389,296400
146,-122.22,37.81,1971,273700
147,-122.22,37.8,2183,227700
148,-122.22,37.8,2286,199600
149,-122.22,37.8,2721,239800
150,-122.22,37.81,2024,270100
151,-122.22,37.81,2944,302100
152,-122.23,37.8,2033,269500
153,-122.23,37.81,1433,314700
154,-122.22,37.81,2927,390100
155,-122.23,37.81,2315,410300
156,-122.24,37.81,2485,352400
157,-122.24,37.81,1490,287300
158,-122.23,37.81,2814,348700
159,-122.24,37.81,2093,243800
160,-122.24,37.8,888,211500
161,-122.25,37.8,2087,218400
162,-122.24,37.81,2513,269900
163,-122.25,37.81,3232,218800
164,-122.25,37.8,4120,225000
165,-122.25,37.8,2364,250000
166,-122.25,37.8,1471,171400
167,-122.25,37.8,2468,193800
168,-122.24,37.79,1632,125000
169,-122.25,37.79,1786,97500
170,-122.25,37.79,629,125000
171,-122.25,37.79,1339,138800
172,-122.25,37.8,1678,116700
173,-122.25,37.8,2344,151800
174,-122.24,37.8,996,127000
175,-122.24,37.8,1591,128600
176,-122.24,37.8,1586,140600
177,-122.24,37.8,2046,182700
178,-122.23,37.8,1192,146900
179,-122.24,37.8,1803,122800
180,-122.24,37.8,2838,169300
181,-122.23,37.8,783,126600
182,-122.23,37.8,1590,127900
183,-122.23,37.8,1746,123500
184,-122.23,37.8,1252,111900
185,-122.23,37.79,5963,112800
186,-122.23,37.79,1783,107900
187,-122.23,37.79,999,137500
188,-122.24,37.79,1469,105500
189,-122.24,37.79,1372,95500
190,-122.24,37.79,674,116100
191,-122.24,37.79,1626,112200
192,-122.25,37.79,175,75000
193,-122.25,37.79,461,112500
194,-122.25,37.79,902,125000
195,-122.26,37.8,2373,115000
196,-122.22,37.77,391,95000
197,-122.22,37.77,1137,96400
198,-122.23,37.77,769,72000
199,-122.23,37.78,472,71300
200,-122.23,37.78,862,80800
201,-122.22,37.78,1920,128800
202,-122.23,37.78,1420,112500
203,-122.23,37.78,986,119400
204,-122.23,37.78,2340,118100
205,-122.23,37.79,1696,122500
206,-122.23,37.79,1175,106300
207,-122.22,37.79,2343,132500
208,-122.23,37.79,610,122700
209,-122.23,37.79,930,113300
210,-122.22,37.79,1487,109500
211,-122.22,37.79,3424,164700
212,-122.21,37.79,762,125000
213,-122.22,37.79,2366,124700
214,-122.22,37.79,1826,136700
215,-122.22,37.79,3049,141700
216,-122.2,37.79,1640,150000
217,-122.21,37.79,1543,138800
218,-122.21,37.79,2364,139200
219,-122.21,37.79,1745,143800
220,-122.21,37.8,2003,156500
221,-122.21,37.8,2018,151000
222,-122.2,37.8,3045,273000
223,-122.2,37.8,1547,217100
224,-122.21,37.8,3519,187100
225,-122.2,37.8,2070,239600
226,-122.21,37.8,1321,229700
227,-122.19,37.8,1694,257300
228,-122.19,37.8,1938,246900
229,-122.19,37.79,968,179900
230,-122.2,37.79,1060,169600
231,-122.2,37.8,2041,203300
232,-122.19,37.8,1813,263400
233,-122.19,37.79,2718,231800
234,-122.19,37.79,3144,140500
235,-122.2,37.79,1802,126000
236,-122.2,37.79,882,122000
237,-122.2,37.79,1621,134700
238,-122.21,37.79,2115,139400
239,-122.2,37.79,2021,115400
240,-122.21,37.78,2239,137300
241,-122.21,37.78,1477,137000
242,-122.21,37.78,1056,142600
243,-122.21,37.78,898,137500
244,-122.22,37.78,2968,111700
245,-122.21,37.78,1702,126800
246,-122.21,37.78,881,111300
247,-122.22,37.77,494,114800
248,-122.22,37.78,1776,102300
249,-122.22,37.78,1678,131900
250,-122.22,37.78,1637,119100
251,-122.21,37.76,1420,80600
252,-122.21,37.77,591,80600
253,-122.21,37.77,745,88800
254,-122.2,37.77,2272,102400
255,-122.21,37.77,1234,98700
256,-122.21,37.77,1017,100000
257,-122.19,37.77,932,92300
258,-122.2,37.77,2689,94800
259,-122.2,37.77,1547,102000
260,-122.2,37.78,2300,158400
261,-122.2,37.78,1752,121600
262,-122.2,37.78,1867,129100
263,-122.2,37.77,2430,121400
264,-122.21,37.78,1729,102800
265,-122.19,37.78,1026,160000
266,-122.19,37.77,2170,143900
267,-122.19,37.77,2329,151200
268,-122.19,37.78,2492,164400
269,-122.19,37.78,2198,156500
270,-122.18,37.78,142,225000
271,-122.19,37.78,1183,174200
272,-122.19,37.78,1070,166900
273,-122.2,37.78,1766,163500
274,-122.18,37.79,617,253000
275,-122.18,37.79,1411,240700
276,-122.18,37.79,2109,208100
277,-122.19,37.79,1229,198100
278,-122.19,37.79,954,172800
279,-122.18,37.81,1643,336700
280,-122.18,37.8,1355,318200
281,-122.18,37.8,2317,285800
282,-122.13,37.77,2459,293000
283,-122.16,37.79,12842,371000
284,-122.17,37.78,1524,157300
285,-122.17,37.77,3326,135300
286,-122.18,37.78,1985,136700
287,-122.18,37.78,1642,160700
288,-122.17,37.78,893,140600
289,-122.17,37.78,653,144000
290,-122.16,37.77,1256,161900
291,-122.16,37.77,977,156300
292,-122.16,37.77,2324,176000
293,-122.16,37.77,1583,145800
294,-122.17,37.77,1612,141900
295,-122.17,37.77,2424,90700
296,-122.17,37.76,1594,90600
297,-122.17,37.76,2118,107900
298,-122.18,37.76,1575,107000
299,-122.17,37.76,1764,98200
300,-122.18,37.76,1187,89500
301,-122.18,37.76,754,93800
302,-122.18,37.76,2308,96700
303,-122.18,37.77,909,97500
304,-122.18,37.77,1180,97300
305,-122.18,37.76,2018,91200
306,-122.19,37.76,1368,91400
307,-122.18,37.77,2744,96200
308,-122.18,37.77,2107,120100
309,-122.18,37.77,1748,100000
310,-122.19,37.76,2024,94700
311,-122.2,37.76,1116,85700
312,-122.19,37.77,2036,89300
313,-122.19,37.77,1852,101400
314,-122.19,37.76,921,72500
315,-122.19,37.76,995,74100
316,-122.2,37.75,606,70000
317,-122.2,37.76,2680,84600
318,-122.19,37.76,1493,81800
319,-122.19,37.75,2207,81400
320,-122.19,37.75,856,81800
321,-122.19,37.76,1293,85800
322,-122.19,37.74,847,87100
323,-122.18,37.74,541,83500
324,-122.19,37.73,1066,79700
325,-122.19,37.74,707,83400
326,-122.19,37.73,1528,84700
327,-122.18,37.73,909,80000
328,-122.18,37.73,1391,76400
329,-122.18,37.73,548,79700
330,-122.18,37.73,4074,82400
331,-122.17,37.74,1613,97700
332,-122.17,37.74,463,97200
333,-122.17,37.74,818,101600
334,-122.17,37.73,1473,86500
335,-122.18,37.74,504,90500
336,-122.17,37.74,1026,107600
337,-122.17,37.74,769,84200
338,-122.18,37.74,2103,88900
